,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice,priceLbl
0,141.0,31770,6,1960,1960,112.0,639.0,441.0,1080.0,1656,0,1656,1,0,7,2,2.0,528.0,210,62,215000,"200,000 - 299,999"
1,80.0,11622,5,1961,1961,0.0,468.0,270.0,882.0,896,0,896,1,0,5,0,1.0,730.0,140,0,105000,"100,000 - 199,999"
2,81.0,14267,6,1958,1958,108.0,923.0,406.0,1329.0,1329,0,1329,1,1,6,0,1.0,312.0,393,36,172000,"100,000 - 199,999"
3,93.0,11160,7,1968,1968,0.0,1065.0,1045.0,2110.0,2110,0,2110,2,1,8,2,2.0,522.0,0,0,244000,"200,000 - 299,999"
4,74.0,13830,5,1997,1998,0.0,791.0,137.0,928.0,928,701,1629,2,1,6,1,2.0,482.0,212,34,189900,"100,000 - 199,999"
5,78.0,9978,6,1998,1998,20.0,602.0,324.0,926.0,926,678,1604,2,1,7,1,2.0,470.0,360,36,195500,"100,000 - 199,999"
6,41.0,4920,8,2001,2001,0.0,616.0,722.0,1338.0,1338,0,1338,2,0,6,0,2.0,582.0,0,0,213500,"200,000 - 299,999"
7,43.0,5005,8,1992,1992,0.0,263.0,1017.0,1280.0,1280,0,1280,2,0,5,0,2.0,506.0,0,82,191500,"100,000 - 199,999"
8,39.0,5389,8,1995,1996,0.0,1180.0,415.0,1595.0,1616,0,1616,2,0,5,1,2.0,608.0,237,152,236500,"200,000 - 299,999"
9,60.0,7500,7,1999,1999,0.0,0.0,994.0,994.0,1028,776,1804,2,1,7,1,2.0,442.0,140,60,189000,"100,000 - 199,999"
10,75.0,10000,6,1993,1994,0.0,0.0,763.0,763.0,763,892,1655,2,1,7,1,2.0,440.0,157,84,175900,"100,000 - 199,999"
11,0.0,7980,6,1992,2007,0.0,935.0,233.0,1168.0,1187,0,1187,2,0,6,0,2.0,420.0,483,21,185000,"100,000 - 199,999"
12,63.0,8402,6,1998,1998,0.0,0.0,789.0,789.0,789,676,1465,2,1,7,1,2.0,393.0,0,75,180400,"100,000 - 199,999"
13,85.0,10176,7,1990,1990,0.0,637.0,663.0,1300.0,1341,0,1341,1,1,5,1,2.0,506.0,192,0,171500,"100,000 - 199,999"
14,0.0,6820,8,1985,1985,0.0,368.0,0.0,1488.0,1502,0,1502,1,1,4,0,2.0,528.0,0,54,212000,"200,000 - 299,999"
15,47.0,53504,8,2003,2003,603.0,1416.0,234.0,1650.0,1690,1589,3279,3,1,12,1,3.0,841.0,503,36,538000,"500,000 - 599,999"
16,152.0,12134,8,1988,2005,0.0,427.0,132.0,559.0,1080,672,1752,2,0,8,0,2.0,492.0,325,12,164000,"100,000 - 199,999"
17,88.0,11394,9,2010,2010,350.0,1445.0,411.0,1856.0,1856,0,1856,1,1,8,1,3.0,834.0,113,0,394432,"300,000 - 399,999"
18,140.0,19138,4,1951,1951,0.0,120.0,744.0,864.0,864,0,864,1,0,4,0,2.0,400.0,0,0,141000,"100,000 - 199,999"
19,85.0,13175,6,1978,1988,119.0,790.0,589.0,1542.0,2073,0,2073,2,0,7,2,2.0,500.0,349,0,210000,"200,000 - 299,999"
20,105.0,11751,6,1977,1977,480.0,705.0,1139.0,1844.0,1844,0,1844,2,0,7,1,2.0,546.0,0,122,190000,"100,000 - 199,999"
21,85.0,10625,7,1974,1974,81.0,885.0,0.0,1053.0,1173,0,1173,2,0,6,2,2.0,528.0,0,120,170000,"100,000 - 199,999"
22,0.0,7500,7,2000,2000,0.0,533.0,281.0,814.0,814,860,1674,2,1,7,0,2.0,663.0,0,96,216000,"200,000 - 299,999"
23,0.0,11241,6,1970,1970,180.0,578.0,426.0,1004.0,1004,0,1004,1,0,5,1,2.0,480.0,0,0,149000,"100,000 - 199,999"
24,0.0,12537,5,1971,2008,0.0,734.0,344.0,1078.0,1078,0,1078,1,1,6,1,2.0,500.0,0,0,149900,"100,000 - 199,999"
25,65.0,8450,5,1968,1968,0.0,775.0,281.0,1056.0,1056,0,1056,1,0,6,1,1.0,304.0,0,85,142000,"100,000 - 199,999"
26,70.0,8400,4,1970,1970,0.0,804.0,0.0,882.0,882,0,882,1,0,4,0,2.0,525.0,240,0,126000,"100,000 - 199,999"
27,70.0,10500,4,1971,1971,0.0,432.0,432.0,864.0,864,0,864,1,0,5,1,0.0,0.0,0,0,115000,"100,000 - 199,999"
28,26.0,5858,7,1999,1999,0.0,1051.0,354.0,1405.0,1337,0,1337,2,0,5,1,2.0,511.0,203,68,184000,"100,000 - 199,999"
29,21.0,1680,6,1971,1971,504.0,156.0,327.0,483.0,483,504,987,1,1,5,0,1.0,264.0,275,0,96000,"0 - 99,999"
30,21.0,1680,5,1971,1971,492.0,300.0,225.0,525.0,525,567,1092,1,1,6,0,1.0,320.0,0,0,105500,"100,000 - 199,999"
31,21.0,1680,6,1971,1971,381.0,0.0,525.0,525.0,525,567,1092,1,1,6,0,1.0,264.0,0,0,88000,"0 - 99,999"
32,53.0,4043,6,1977,1977,0.0,360.0,709.0,1069.0,1069,0,1069,2,0,4,1,2.0,440.0,0,55,127500,"100,000 - 199,999"
33,24.0,2280,6,1975,1975,0.0,514.0,341.0,855.0,855,601,1456,2,1,6,1,2.0,440.0,173,0,149900,"100,000 - 199,999"
34,24.0,2280,7,1975,1975,0.0,0.0,836.0,836.0,836,0,836,1,0,4,0,1.0,308.0,0,30,120000,"100,000 - 199,999"
